"participantID","vignette_id","condition","topic","PartnerTrust","PartnerReal","ConversationMyself","ConversationSharing","AttentionCheck","Belief_AI_Human"
"S006","romantic1","Human","Romantic",2,6,4,5,NA,100
"S006","romantic2","AI","Romantic",5,3,3,4,"Romantic",-100
"S006","trivial1","AI","Trivial",4,4,6,6,NA,100
"S006","trivial2","Human","Trivial",7,7,7,7,NA,100
"S059","mental1","Human","Mental",5,2,6,4,NA,-100
"S059","mental2","AI","Mental",7,7,6,7,NA,-88
"S059","romantic1","AI","Romantic",6,4,7,6,"Everyday / Trivial",42
"S059","romantic2","Human","Romantic",6,1,5,6,NA,-100
"S059","trivial1","AI","Trivial",2,2,3,2,NA,-100
"S059","trivial2","Human","Trivial",6,2,5,5,"Romantic",-79
"S123","mental1","AI","Mental",2,2,2,2,"Mental Health",-100
"S123","mental2","Human","Mental",1,1,1,1,NA,20
"S123","romantic1","AI","Romantic",5,4,4,1,NA,-71
"S123","romantic2","Human","Romantic",3,2,1,1,"Mental Health",20
"S123","trivial1","Human","Trivial",5,4,5,2,NA,-4
"S123","trivial2","AI","Trivial",4,2,3,2,NA,-5
"S007","mental1","Human","Mental",2,2,5,2,NA,80
"S007","mental2","AI","Mental",2,2,4,2,NA,-60
"S007","romantic1","Human","Romantic",3,2,4,2,"Everyday / Trivial",50
"S007","romantic2","AI","Romantic",2,2,5,2,NA,-80
"S007","trivial1","AI","Trivial",4,2,6,5,"Everyday / Trivial",-100
"S007","trivial2","Human","Trivial",1,1,4,2,NA,-100
"S084","mental1","Human","Mental",4,4,2,2,"Mental Health",68
"S084","mental2","AI","Mental",5,4,4,4,"Everyday / Trivial",100
"S084","romantic1","AI","Romantic",3,2,2,2,NA,-100
"S084","romantic2","Human","Romantic",6,2,5,5,NA,51
"S084","trivial1","AI","Trivial",4,2,3,4,NA,-100
"S084","trivial2","Human","Trivial",3,2,2,2,NA,-75
"S079","mental1","Human","Mental",6,5,6,4,"Everyday / Trivial",-26
"S079","mental2","AI","Mental",4,5,6,5,NA,-86
"S079","romantic1","Human","Romantic",5,5,5,4,NA,84
"S079","romantic2","AI","Romantic",5,5,5,5,NA,70
"S079","trivial1","Human","Trivial",4,4,3,3,NA,-93
"S079","trivial2","AI","Trivial",4,3,3,3,"Mental Health",16
"S013","mental1","AI","Mental",5,5,5,5,NA,25
"S013","mental2","Human","Mental",5,5,5,5,NA,32
"S013","romantic1","Human","Romantic",5,5,5,5,"Everyday / Trivial",-49
"S013","romantic2","AI","Romantic",4,5,4,5,"Mental Health",-36
"S013","trivial1","AI","Trivial",5,5,5,5,NA,-77
"S013","trivial2","Human","Trivial",3,3,3,3,NA,27
"S078","mental1","AI","Mental",1,1,1,1,"Romantic",-62
"S078","mental2","Human","Mental",2,3,5,2,NA,-31
"S078","romantic1","AI","Romantic",2,2,3,2,NA,-100
"S078","romantic2","Human","Romantic",3,4,4,4,NA,18
"S078","trivial1","AI","Trivial",1,1,4,1,NA,-100
"S078","trivial2","Human","Trivial",1,1,1,1,"Romantic",100
"S125","mental1","AI","Mental",4,5,3,4,NA,-25
"S125","mental2","Human","Mental",4,6,1,4,"Romantic",32
"S125","romantic1","AI","Romantic",4,5,2,4,"Mental Health",59
"S125","romantic2","Human","Romantic",4,6,6,5,NA,-50
"S125","trivial1","AI","Trivial",4,5,3,7,NA,-91
"S125","trivial2","Human","Trivial",4,6,6,7,NA,45
"S031","mental1","Human","Mental",5,5,3,3,NA,-62
"S031","mental2","AI","Mental",1,4,5,1,NA,-54
"S031","romantic1","AI","Romantic",1,1,2,1,"Mental Health",-72
"S031","romantic2","Human","Romantic",3,2,5,5,"Everyday / Trivial",-48
"S031","trivial1","AI","Trivial",1,1,1,1,NA,71
"S031","trivial2","Human","Trivial",1,1,1,1,NA,83
"S066","mental1","Human","Mental",2,3,2,1,"Romantic",59
"S066","mental2","AI","Mental",4,5,3,3,NA,-19
"S066","romantic1","Human","Romantic",3,3,3,2,NA,-6
"S066","romantic2","AI","Romantic",3,2,6,2,NA,58
"S066","trivial1","AI","Trivial",3,4,3,3,"Mental Health",-100
"S066","trivial2","Human","Trivial",2,4,3,2,NA,24
"S067","mental1","Human","Mental",5,2,4,4,NA,44
"S067","mental2","AI","Mental",5,4,6,3,NA,-100
"S067","romantic1","Human","Romantic",4,2,1,3,"Romantic",80
"S067","romantic2","AI","Romantic",1,5,2,2,NA,-100
"S067","trivial1","Human","Trivial",3,3,1,3,NA,-100
"S067","trivial2","AI","Trivial",4,2,3,3,"Mental Health",-100
"S118","mental1","Human","Mental",3,3,3,3,NA,-53
"S118","mental2","AI","Mental",1,2,1,2,NA,-49
"S118","romantic1","Human","Romantic",1,4,3,2,"Mental Health",33
"S118","romantic2","AI","Romantic",4,3,5,4,NA,54
"S118","trivial1","Human","Trivial",5,4,4,3,"Everyday / Trivial",-55
"S118","trivial2","AI","Trivial",5,6,2,3,NA,-95
"S095","mental1","Human","Mental",5,4,5,5,NA,-51
"S095","mental2","AI","Mental",6,7,6,6,"Romantic",23
"S095","romantic1","Human","Romantic",7,7,6,7,NA,-100
"S095","romantic2","AI","Romantic",4,4,4,3,"Mental Health",17
"S095","trivial1","AI","Trivial",6,6,6,6,NA,-65
"S095","trivial2","Human","Trivial",3,5,4,4,NA,98
"S085","mental1","AI","Mental",4,4,4,4,"Mental Health",-100
"S085","mental2","Human","Mental",4,4,4,4,NA,-100
"S085","romantic1","Human","Romantic",4,4,3,1,"Romantic",-100
"S085","romantic2","AI","Romantic",2,2,2,1,NA,-100
"S085","trivial1","Human","Trivial",2,2,2,2,NA,-100
